id,number_of_reviews,review_scores_rating
692747103,1,5.0
692748972,1,5.0
694094996,1,5.0
696253795,6,5.0
707565204,65,4.89
709042272,2,4.5
709939057,34,4.88
711120497,2,4.5
711221925,3,4.0
711260846,1,2.0
711980096,1,2.0
711986650,6,2.67
713931790,25,4.88
714890700,2,4.0
716283486,12,4.92
719821104,4,5.0
721480577,1,3.0
724214731,2,5.0
734335764,7,4.43
734588947,42,4.88
734600133,13,4.54
738632897,1,5.0
741440446,3,5.0
743171291,1,5.0
743171330,2,5.0
749758789,8,5.0
755422693,16,4.69
755560671,6,4.67
756273570,2,4.5
764824832,2,5.0
771234942,1,5.0
771247750,7,4.57
771301226,1,4.0
771311210,1,4.0
771426892,1,2.0
772771788,2,4.5
772794978,8,4.88
774251290,3,5.0
776405587,8,3.88
780073511,10,4.9
782824856,9,4.78
782868929,7,4.57
789762213,9,3.89
791220299,14,4.57
791827163,4,3.5
791849721,10,3.4
791860562,4,4.0
795610316,9,4.78
796557098,1,5.0
797803598,5,4.6
798224495,3,5.0
798264417,18,4.94
798279586,2,5.0
800298184,8,4.13
801186555,17,4.71
801920114,27,4.85
806295889,4,5.0
806312921,118,4.87
806321235,16,5.0
810376811,8,4.88
819865960,1,5.0
822046864,1,2.0
822059164,7,4.86
825255331,1,5.0
825579456,2,5.0
826508772,1,4.0
827845795,11,4.18
829322076,1,5.0
830754747,3,5.0
831008711,7,4.29
831033318,13,3.92
831518184,1,5.0
832538193,13,4.69
838867174,1,5.0
852527793,4,5.0
852711649,2,4.5
853124282,4,5.0
853329364,36,4.81
853329655,34,4.82
853333353,54,4.87
854000299,2,4.0
856237979,1,5.0
856893840,2,5.0
863260350,2,5.0
863992542,5,5.0
864099010,3,4.33
864117612,2,5.0
866448854,1,5.0
867296050,3,4.0
869099179,9,5.0
870150798,8,5.0
870182864,5,5.0
872033189,5,4.6
873140844,5,4.8
873151302,16,4.81
873151554,14,4.5
873151881,4,4.5
873159641,5,4.6
876437098,2,5.0
878488989,1,5.0
878489359,1,5.0
878489587,3,5.0
892382752,58,4.86
896425506,2,4.5
896425553,4,5.0
897448879,2,5.0
897507768,2,4.0
898183559,43,4.44
898295862,1,5.0
906259459,1,5.0
907077257,1,5.0
907686638,2,4.0
910070794,12,4.92
912791958,3,5.0
914805460,173,4.07
915670366,1,5.0
916360007,3,5.0
917878438,2,2.0
917885193,1,1.0
918098632,1,5.0
919968290,1,5.0
927092195,9,4.22
927104359,14,4.71
933141148,3,5.0
934346542,148,4.81
934354866,20,4.7
934368914,27,4.89
934381114,28,4.79
934386884,6,4.33
935094489,2,5.0
938672532,12,4.58
938816375,20,4.85
938821130,11,4.91
938826741,17,4.71
939706932,13,4.54
939714606,5,3.6
942238998,1,5.0
942498058,4,4.75
943118105,1,5.0
943163894,1,3.0
943220901,4,5.0
944449482,5,4.4
944612487,4,4.75
948700412,7,4.86
949650431,2,5.0
954625302,3,5.0
957684538,25,5.0
959465909,34,4.41
974183835,20,4.85
974194294,6,5.0
994831838,3,5.0
996212506,269,3.98
999267804,32,4.5
100037811,9,4.78
100170494,1,5.0
100180816,1,5.0
100191754,39,3.31
100252255,5,3.4
100252901,10,3.5
100253270,13,3.69
100253998,4,4.5
100254375,5,3.2
100255150,43,3.56
100380454,1,1.0
100392351,5,4.8
100466870,5,4.4
100558570,10,3.4
100558942,33,3.88
100872396,4,5.0
100931061,66,3.95
100965183,4,4.25
100966202,12,4.42
101567443,2,3.0
102101649,9,4.56
102101652,2,5.0
102101653,1,5.0
102102420,9,4.67
102169558,5,4.0
102558888,8,5.0
102865768,1,3.0
103256159,4,4.75
103374517,27,4.37
103600295,5,4.4
103962802,15,4.53
104108908,6,4.33
104525405,33,4.15
104531572,54,4.28
104977010,1,5.0
105038475,1,4.0
105038832,6,4.5
105699115,1,5.0
106841962,56,4.57
106997824,1,5.0
107006072,8,4.13
107009224,3,3.0
107210322,18,4.72
107297646,12,4.5
107600952,8,3.5
107706616,518,4.79
108140665,80,4.34
108161386,6,4.67
108376311,6,5.0
